key,parent_key,has_parent
SPARK-10705,,0
SPARK-10706,,0
SPARK-10707,,0
SPARK-10708,SPARK-7271,1
SPARK-10709,,0
SPARK-1071,,0
SPARK-10710,SPARK-7271,1
SPARK-10711,,0
SPARK-10714,,0
SPARK-10713,,0
SPARK-10712,,0
SPARK-10715,,0
SPARK-10716,,0
SPARK-10717,,0
SPARK-10718,,0
SPARK-10719,,0
SPARK-1072,,0
SPARK-10720,,0
SPARK-10721,,0
SPARK-10722,,0
SPARK-10723,,0
SPARK-10724,,0
SPARK-10725,,0
SPARK-10726,,0
SPARK-10727,,0
SPARK-10728,,0
SPARK-10729,,0
SPARK-1073,,0
SPARK-10730,,0
SPARK-10731,,0
SPARK-10732,,0
SPARK-10733,,0
SPARK-10734,,0
SPARK-10735,,0
SPARK-10736,,0
SPARK-10737,,0
SPARK-10738,,0
SPARK-10739,,0
SPARK-1074,,0
SPARK-10740,,0
SPARK-10741,,0
SPARK-10742,,0
SPARK-10743,,0
SPARK-10744,,0
SPARK-10745,,0
SPARK-10746,,0
SPARK-10747,,0
SPARK-10749,,0
SPARK-10748,,0
SPARK-1075,,0
SPARK-10750,,0
SPARK-10751,,0
SPARK-10752,SPARK-10045,1
SPARK-10753,SPARK-10045,1
SPARK-10754,,0
SPARK-10755,,0
SPARK-10756,,0
SPARK-10758,,0
SPARK-10757,,0
SPARK-10760,,0
SPARK-10759,SPARK-11337,1
SPARK-1076,,0
SPARK-10761,SPARK-7271,1
SPARK-10762,,0
SPARK-10763,,0
SPARK-10764,SPARK-5874,1
SPARK-10765,SPARK-4366,1
SPARK-10766,,0
SPARK-10767,,0
SPARK-10768,,0
SPARK-10769,,0
SPARK-1077,,0
SPARK-10770,,0
SPARK-10771,SPARK-5682,1
SPARK-10772,,0
SPARK-10773,,0
SPARK-10774,,0
SPARK-10775,,0
SPARK-10776,,0
SPARK-10777,,0
SPARK-10778,,0
SPARK-1078,,0
SPARK-10779,,0
SPARK-10780,,0
SPARK-10781,,0
SPARK-10782,,0
SPARK-10783,,0
SPARK-10784,,0
SPARK-10785,,0
SPARK-10787,,0
SPARK-10786,,0
SPARK-10789,,0
SPARK-10788,,0
SPARK-1079,,0
SPARK-10790,,0
SPARK-10791,,0
SPARK-10792,,0
